"year","state","candidate","last","xx","office","party","vote","incumbent","win","postal","class","votesmartid","fecid","fecid.note","slug","serious","day_in","day_out","city council","state rep","mayor","state senate","state ag","lt gov","us rep","gov","us senate"
2014,"Arkansas","Nathan LaFrance","LaFrance","2014ARLaFrance","ar-senate-class-ii-2014","L",NA,"0",NA,"AR","ii","146264","#N/A","no id","nathan-lafrance",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Arkansas","Mark Pryor","Pryor","2014ARPryor","ar-senate-class-ii-2014","D",NA,"1",NA,"AR","ii","35","S0AR00028","","mark-pryor",1,9999,9999,0,1,0,0,1,0,0,0,1
2014,"Colorado","Mark Aspiri","Aspiri","2014COAspiri","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","146491","S4CO00361","","mark-aspiri",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Colorado","Randy Baumgardner","Baumgardner","2014COBaumgardner","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","106641","S4CO00346","","randy-baumgardner",0,9999,9999,0,1,0,1,0,0,0,0,0
2014,"Colorado","Ken Buck","Buck","2014COBuck","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","125319","S0CO00237","","kenneth-r-buck",0,9999,247,0,0,0,0,0,0,0,0,0
2014,"Colorado","Owen Hill","Hill","2014COHill","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","125362","S4CO00338","","owen-hill",0,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Colorado","Jaime McMillan","McMillan","2014COMcMillan","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","146483","S4CO00320","","jaime-mcmillan",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Colorado","Amy Stephens","Stephens","2014COStephens","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","65850","S4CO00353","","amy-stephens",0,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Colorado","Mark Udall","Udall","2014COUdall","co-senate-class-ii-2014","D",NA,"1",NA,"CO","ii","12329","S8CO00172","","mark-udall",1,9999,9999,0,1,0,0,0,0,1,0,1
2014,"Colorado","Cory Gardner","Gardner","2014COGardner","co-senate-class-ii-2014","R",NA,"0",NA,"CO","ii","30004","S4CO00395","house id = C00492454?","cory-gardner",1,9999,9999,0,1,0,0,0,0,1,0,0
2014,"Delaware","Tom Kovach","Kovach","2014DEKovach","de-senate-class-ii-2014","R",NA,"0",NA,"DE","ii","110895","H2DE00130","house id","tom-kovach",0,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Delaware","Christine O'Donnell","O'Donnell","2014DEO'Donnell","de-senate-class-ii-2014","R",NA,"0",NA,"DE","ii","65777","S6DE00131","","christine-o'donnell",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Delaware","Chris Coons","Coons","2014DECoons","de-senate-class-ii-2014","D",NA,"1",NA,"DE","ii","122834","S0DE00092","","christopher-a-coons",1,9999,9999,1,0,0,0,0,0,0,0,1
2014,"Georgia","Paul Broun","Broun","2014GABroun","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii","70001","S6GA00101","","paul-broun",1,9999,9999,0,0,0,0,0,0,1,0,0
2014,"Georgia","Art Gardner","Gardner","2014GAGardner","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii",NA,"S4GA11301","","art-gardner",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","Phil Gingrey","Gingrey","2014GAGingrey","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii","17644","S2GA00100","","j-phillip-gingrey",1,9999,9999,0,0,0,1,0,0,1,0,0
2014,"Georgia","Derrick Grayson","Grayson","2014GAGrayson","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii",NA,"S4GA11236","","derrick-earl-grayson",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","Karen Handel","Handel","2014GAHandel","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii","69553","S4GA11244","","karen-handel",1,9999,9999,0,0,0,0,1,0,0,0,0
2014,"Georgia","Jack Kingston","Kingston","2014GAKingston","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii","26816","S4GA11210","","john-h-sr-rep-kingston",1,9999,9999,0,1,0,0,0,0,1,0,0
2014,"Georgia","Steen Miles","Miles","2014GAMiles","ga-senate-class-ii-2014","D",NA,"0",NA,"GA","ii","31950","S4GA11293","","steen-miles",0,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Georgia","Michelle Nunn","Nunn","2014GANunn","ga-senate-class-ii-2014","D",NA,"0",NA,"GA","ii",NA,"S4GA11277","","mary-michelle-nunn",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","David Perdue","Perdue","2014GAPerdue","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii",NA,"S4GA11285","","david-perdue",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","Branko Radulovacki","Radulovacki","2014GARadulovacki","ga-senate-class-ii-2014","D",NA,"0",NA,"GA","ii",NA,"S4GA11228","","branko-radulovacki",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","Todd Robinson ","Robinson","2014GARobinson","ga-senate-class-ii-2014","D",NA,"0",NA,"GA","ii",NA,"S4GA11251","","todd-anthony-robinson",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Georgia","Eugene Yu","Yu","2014GAYu","ga-senate-class-ii-2014","R",NA,"0",NA,"GA","ii",NA,"S4GA11269","","eugene-chin-yu",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Hawaii","Campbell Cavasso","Cavasso","2014HICavasso","hi-senate-class-iii-2014","R",NA,"0",NA,"HI","iii","32165","S4HI00102","","campbell-cavasso",0,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Hawaii","Colleen Hanabusa","Hanabusa","2014HIHanabusa","hi-senate-class-iii-2014","D",NA,"0",NA,"HI","iii","17745","S4HI00144","","colleen-hanabusa",1,9999,9999,0,0,0,1,0,0,1,0,0
2014,"Hawaii","Brian Schatz","Schatz","2014HISchatz","hi-senate-class-iii-2014","D",NA,"a",NA,"HI","iii","17852","S4HI00136","","brian-schatz",1,9999,9999,0,1,0,0,0,1,0,0,1
2014,"Iowa","Bruce Braley","Braley","2014IABraley","ia-senate-class-ii-2014","D",NA,"0",NA,"IA","ii","57382","S4IA00087","","bruce-braley",1,9999,9999,0,0,0,0,0,0,1,0,0
2014,"Iowa","Sam Clovis","Clovis","2014IAClovis","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","146182","S4IA00111","","samuel-clovis",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Iowa","Joni Ernst","Ernst","2014IAErnst","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","128583","S4IA00129","","joni-k-ernst",1,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Iowa","Mark Jacobs ","Jacobs","2014IAJacobs","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","146183","S4IA00152","","mark-jacobs",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Iowa","Paul Lunde","Lunde","2014IALunde","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","1383","S4IA00145","","paul-lunde",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Iowa","Scott Schaben","Schaben","2014IASchaben","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","146184","S4IA00137","","scott-schaben",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Iowa","Matthew Whitaker","Whitaker","2014IAWhitaker","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii",NA,"S4IA00095","","matthew-george-matt-whitaker",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Iowa","David Young ","Young","2014IAYoung","ia-senate-class-ii-2014","R",NA,"0",NA,"IA","ii","89079","S4IA00103","","david-young",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Idaho","Nels Mitchell","Mitchell","2014IDMitchell","id-senate-class-ii-2014","D",NA,"0",NA,"ID","ii",NA,"S4ID00075","","nels-mitchell",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Idaho","Jim Risch","Risch","2014IDRisch","id-senate-class-ii-2014","R",NA,"1",NA,"ID","ii","2919","S8ID00092","","jim-risch",1,9999,9999,0,0,0,1,0,1,0,1,1
2014,"Illinois","Armen Alvarez","Alvarez","2014ILAlvarez","il-senate-class-ii-2014","R",NA,"0",NA,"IL","ii",NA,"S4IL00461","","armen-alvarez",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Illinois","Dick Durbin","Durbin","2014ILDurbin","il-senate-class-ii-2014","D",NA,"1",NA,"IL","ii","26847","S6IL00151","","richard-j-durbin",1,9999,9999,0,0,0,0,0,0,1,0,1
2014,"Illinois","Sharon Hansen","Hansen","2014ILHansen","il-senate-class-ii-2014","L",NA,"0",NA,"IL","ii","146198","#N/A","no id","sharon-hansen",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Illinois","William Lee ","Lee","2014ILLee","il-senate-class-ii-2014","R",NA,"0",NA,"IL","ii","146191","S4IL00446","","william-john-lee",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Illinois","Jim Oberweis","Oberweis","2014ILOberweis","il-senate-class-ii-2014","R",NA,"0",NA,"IL","ii","33522","S2IL00119","","jim-oberweis",1,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Illinois","Doug Truax","Truax","2014ILTruax","il-senate-class-ii-2014","R",NA,"0",NA,"IL","ii","146197","S4IL00438","","douglas-lee-truax",0,9999,231,0,0,0,0,0,0,0,0,0
2014,"Kansas","Chad Taylor","Taylor","2014KSTaylor","ks-senate-class-ii-2014","D",NA,"0",NA,"KS","ii","146206","S4KS00135","","chad-taylor",1,9999,9999,1,0,0,0,0,0,0,0,0
2014,"Kansas","Pat Roberts","Roberts","2014KSRoberts","ks-senate-class-ii-2014","R",NA,"1",NA,"KS","ii","26866","S6KS00080","","pat-roberts",1,9999,9999,0,0,0,0,0,0,1,0,1
2014,"Kansas","Milton Wolf","Wolf","2014KSWolf","ks-senate-class-ii-2014","R",NA,"0",NA,"KS","ii","146168","S4KS00127","","milton-wolf",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Matt Bevin","Bevin","2014KYBevin","ky-senate-class-ii-2014","R",NA,"0",NA,"KY","ii","146094","S4KY00109","","matthew-griswold-bevin",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Burrel Farnsley","Farnsley","2014KYFarnsley","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii","34935","#N/A","no id","burrel-farnsley",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Alison Lundergan Grimes","Grimes","2014KYGrimes","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii","128674","S4KY00091","","alison-lundergan-grimes",1,9999,9999,0,0,0,0,1,0,0,0,0
2014,"Kentucky","Greg Leichty","Leichty","2014KYLeichty","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii","148721","#N/A","no id","greg-leichty",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Tom Recktenwald","Recktenwald","2014KYRecktenwald","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii","148722","#N/A","no id","tom-recktenwald",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","James Copas","Copas","2014KYCopas","ky-senate-class-ii-2014","R",NA,"0",NA,"KY","ii","148731","S4KY00125","","james-copas",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Shawna Sterling","Sterling","2014KYSterling","ky-senate-class-ii-2014","R",NA,"0",NA,"KY","ii","148736","#N/A","no id","shawna-sterling",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Chris Payne","Payne","2014KYPayne","ky-senate-class-ii-2014","R",NA,"0",NA,"KY","ii","148734","#N/A","no id","chris-payne",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Ed Marksberry","Marksberry","2014KYMarksberry","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii","117554","S4KY00067","","ed-marksberry",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Gurley Martin","Martin","2014KYMartin","ky-senate-class-ii-2014","R",NA,"0",NA,"KY","ii",NA,"#N/A","no id","gurley-martin",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Mitch McConnell","McConnell","2014KYMcConnell","ky-senate-class-ii-2014","R",NA,"1",NA,"KY","ii","53298","S2KY00012","","mitch-mcconnell",1,9999,9999,0,0,0,0,0,0,0,0,1
2014,"Kentucky","David Patterson ","Patterson","2014KYPatterson","ky-senate-class-ii-2014","L",NA,"0",NA,"KY","ii","146093","#N/A","no id","david-patterson",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Kentucky","Bennie J. Smith","Smith","2014KYSmith","ky-senate-class-ii-2014","D",NA,"0",NA,"KY","ii",NA,"#N/A","no id","bennie-j-smith",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Louisiana","Paul Hollis","Hollis","2014LAHollis","la-senate-class-ii-2014","R",NA,"0",NA,"LA","ii",NA,"S4LA00131","","paul-hollis",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Louisiana","Bill Cassidy","Cassidy","2014LACassidy","la-senate-class-ii-2014","R",NA,"0",NA,"LA","ii","69494","S4LA00107","","william-cassidy",1,9999,9999,0,0,0,1,0,0,1,0,0
2014,"Louisiana","Mary Landrieu","Landrieu","2014LALandrieu","la-senate-class-ii-2014","D",NA,"1",NA,"LA","ii","661","S6LA00227","","mary-l-landrieu",1,9999,9999,0,1,0,0,0,0,0,0,1
2014,"Louisiana","Rob Maness","Maness","2014LAManess","la-senate-class-ii-2014","R",NA,"0",NA,"LA","ii","146108","S4LA00115","","robert-l-colonel-maness",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Louisiana","Brannon McMorris","McMorris","2014LAMcMorris","la-senate-class-ii-2014","LIB",NA,"0",NA,"LA","ii","146173","S4LA00123","","brannon-mcmorris",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Massachusetts","Brian Herr","Herr","2014MAHerr","ma-senate-class-ii-2014","R",NA,"0",NA,"MA","ii",NA,"S4MA00234","no id","brian-herr",0,9999,9999,1,0,0,0,0,0,0,0,0
2014,"Massachusetts","Ed Markey","Markey","2014MAMarkey","ma-senate-class-ii-2014","D",NA,"1",NA,"MA","ii","26900","S4MA00028","","edward-j-markey",1,9999,9999,0,1,0,0,0,0,1,0,1
2014,"Massachusetts","Frank Addivinola","Addivinola","2014MAAddivinola","ma-senate-class-ii-2014","R",NA,"0",NA,"MA","ii","125294","S4MA00242","","frank-addivinola",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Maine","Shenna Bellows","Bellows","2014MEBellows","me-senate-class-ii-2014","D",NA,"0",NA,"ME","ii",NA,"S4ME00071","","shenna-bellows",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Maine","Erick Bennett","Bennett","2014MEBennett","me-senate-class-ii-2014","R",NA,"0",NA,"ME","ii","104932","#N/A","no id","erick-bennett",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Maine","Susan Collins","Collins","2014MECollins","me-senate-class-ii-2014","R",NA,"1",NA,"ME","ii","379","S6ME00159","","susan-collins",1,9999,9999,0,0,0,0,0,0,0,0,1
2014,"Michigan","Terri Lynn Land","Land","2014MILand","mi-senate-class-ii-2014","R",NA,"0",NA,"MI","ii","38315","S4MI00363","","terri-lynn-land",1,9999,9999,0,0,0,0,1,0,0,0,0
2014,"Michigan","Gary Peters","Peters","2014MIPeters","mi-senate-class-ii-2014","D",NA,"0",NA,"MI","ii","8749","S4MI00355","","gary-peters",1,9999,9999,1,0,0,1,0,0,1,0,0
2014,"Michigan","Matthew Wiedenhoeft","Wiedenhoeft","2014MIWiedenhoeft","mi-senate-class-ii-2014","R",NA,"0",NA,"MI","ii","146302","#N/A","no id","matthew-wiedenhoeft",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Minnesota","Jim Abeler","Abeler","2014MNAbeler","mn-senate-class-ii-2014","R",NA,"0",NA,"MN","ii","20208","S4MN00353","","james-j-abeler",1,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Minnesota","Chris Dahlberg","Dahlberg","2014MNDahlberg","mn-senate-class-ii-2014","R",NA,"0",NA,"MN","ii","13426","S4MN00379","","christopher-ames-dahlberg",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Minnesota","Al Franken","Franken","2014MNFranken","mn-senate-class-ii-2014","D",NA,"1",NA,"MN","ii","108924","S8MN00438","","al-franken",1,9999,9999,0,0,0,0,0,0,0,0,1
2014,"Minnesota","Mike McFadden","McFadden","2014MNMcFadden","mn-senate-class-ii-2014","R",NA,"0",NA,"MN","ii","146024","S4MN00346","","michael-mcfadden",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Minnesota","Monti Moreno","Moreno","2014MNMoreno","mn-senate-class-ii-2014","R",NA,"0",NA,"MN","ii","146023","#N/A","no id","monti-moreno",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Minnesota","Julianne Ortman","Ortman","2014MNOrtman","mn-senate-class-ii-2014","R",NA,"0",NA,"MN","ii","38935","S4MN00361","","julianne-ortman",1,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Mississippi","Thad Cochran","Cochran","2014MSCochran","ms-senate-class-ii-2014","R",NA,"1",NA,"MS","ii","53312","S8MS00055","","thad-cochran",1,9999,9999,0,0,0,0,0,0,1,0,1
2014,"Mississippi","Bill Marcy","Marcy","2014MSMarcy","ms-senate-class-ii-2014","D",NA,"0",NA,"MS","ii","101990","H0MS02066","house id","bill-marcy",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Mississippi","Chris McDaniel","McDaniel","2014MSMcDaniel","ms-senate-class-ii-2014","R",NA,"0",NA,"MS","ii","69837","S4MS00120","","chris-mcdaniel",1,9999,9999,0,0,0,1,0,0,0,0,0
2014,"Mississippi","Travis Childers","Childers","2014MSChilders","ms-senate-class-ii-2014","D",NA,"0",NA,"MS","ii","101982","S4MS00138","","travis-childers",1,249,9999,0,0,0,0,0,0,1,0,0
2014,"Montana","Dirk Adams","Adams","2014MTAdams","mt-senate-class-ii-2014","D",NA,"0",NA,"MT","ii","146065","S4MT00100","","dirk-standley-adams",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Montana","John Bohlinger","Bohlinger","2014MTBohlinger","mt-senate-class-ii-2014","D",NA,"0",NA,"MT","ii","6797","S4MT00126","","john-bohlinger",1,9999,9999,0,1,0,1,0,1,0,0,0
2014,"Montana","Steve Daines","Daines","2014MTDaines","mt-senate-class-ii-2014","R",NA,"0",NA,"MT","ii","135720","S2MT00096","","steven-daines",1,9999,9999,0,0,0,0,0,0,1,0,0
2014,"Montana","Champ Edmunds","Edmunds","2014MTEdmunds","mt-senate-class-ii-2014","R",NA,"0",NA,"MT","ii","120892","S4MT00092","","richard-champion-jr-edmunds",0,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Montana","David Leaser","Leaser","2014MTLeaser","mt-senate-class-ii-2014","R",NA,"0",NA,"MT","ii",NA,"#N/A","no id","david-leaser",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Montana","John Walsh","Walsh","2014MTWalsh","mt-senate-class-ii-2014","D",NA,"a",NA,"MT","ii","111027","S4MT00118","","john-walsh",1,9999,9999,0,0,0,0,0,1,0,0,1
2014,"North Carolina","Ted Alexander","Alexander","2014NCAlexander","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii",NA,"S4NC00220","","ted-alexander",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Greg Brannon","Brannon","2014NCBrannon","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii","146227","S4NC00147","","gregory-joseph-brannon",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Bill Flynn","Flynn","2014NCFlynn","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii","136561","S4NC00204","house is H2NC06064","william-flynn",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Heather Grant","Grant","2014NCGrant","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii","146226","S4NC00170","","heather-anderson-grant",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Will Stewart","Stewart","2014NCStewart","nc-senate-class-ii-2014","D",NA,"0",NA,"NC","ii",NA,"S4NC00212","","will-stewart",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Kay Hagan","Hagan","2014NCHagan","nc-senate-class-ii-2014","D",NA,"1",NA,"NC","ii","21082","S8NC00239","","kay-hagan",1,9999,9999,0,0,0,1,0,0,0,0,1
2014,"North Carolina","Edward Kryn","Kryn","2014NCKryn","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii",NA,"S4NC00196","","edward-kryn",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Mark Harris ","Harris","2014NCHarris","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii","146230","S4NC00154","","mark-harris",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"North Carolina","Thom Tillis","Tillis","2014NCTillis","nc-senate-class-ii-2014","R",NA,"0",NA,"NC","ii","57717","S4NC00162","","thom-r-tillis",1,9999,9999,0,1,0,0,0,0,0,0,0
2014,"Nebraska","David Domina","Domina","2014NEDomina","ne-senate-class-ii-2014","D",NA,"0",NA,"NE","ii",NA,"S4NE00140","","david-domina",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Nebraska","Clifton Johnson","Johnson","2014NEJohnson","ne-senate-class-ii-2014","R",NA,"0",NA,"NE","ii","149579","S4NE00132","","clifton-johnson",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Nebraska","Bartholomew McLeay","McLeay","2014NEMcLeay","ne-senate-class-ii-2014","R",NA,"0",NA,"NE","ii",NA,"S4NE00082","","bartholomew-l-mcleay",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Nebraska","Sid Dinsdale","Dinsdale","2014NEDinsdale","ne-senate-class-ii-2014","R",NA,"0",NA,"NE","ii",NA,"S4NE00116","","sid-dinsdale",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Nebraska","Jim Jenkins ","Jenkins","2014NEJenkins","ne-senate-class-ii-2014","I",NA,"0",NA,"NE","ii",NA,"S4NE00124","","jim-jenkins",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Nebraska","Shane Osborn","Osborn","2014NEOsborn","ne-senate-class-ii-2014","R",NA,"0",NA,"NE","ii",NA,"S4NE00074","","shane-osborn",1,9999,9999,0,0,0,0,1,0,0,0,0
2014,"Nebraska","Ben Sasse","Sasse","2014NESasse","ne-senate-class-ii-2014","R",NA,"0",NA,"NE","ii",NA,"S4NE00090","","benjamin-e-sasse",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Hampshire","Andy Martin","Martin","2014NHMartin","nh-senate-class-ii-2014","R",NA,"0",NA,"NH","ii","146068","S4NH00096","","andy-martin",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Hampshire","Scott Brown","Brown","2014NHBrown","nh-senate-class-ii-2014","R",NA,"0",NA,"NH","ii","18919","S4NH00120","S0MA00109","scott-brown",1,9999,9999,0,1,0,1,0,0,0,0,1
2014,"New Hampshire","Jim Rubens","Rubens","2014NHRubens","nh-senate-class-ii-2014","R",NA,"0",NA,"NH","ii","8660","S4NH00112","","jim-rubens",1,9999,9999,0,0,0,1,0,0,0,0,0
2014,"New Hampshire","Jeanne Shaheen","Shaheen","2014NHShaheen","nh-senate-class-ii-2014","D",NA,"1",NA,"NH","ii","1663","S0NH00219","","jeanne-shaheen",1,9999,9999,0,0,0,1,0,0,0,1,1
2014,"New Hampshire","Robert C. Smith","Smith","2014NHSmith","nh-senate-class-ii-2014","R",NA,"0",NA,"NH","ii",NA,"S0NH00144","","bob-smith-2",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Hampshire","Karen Testerman","Testerman","2014NHTesterman","nh-senate-class-ii-2014","R",NA,"0",NA,"NH","ii","21519","S4NH00104","","karen-testerman",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Jersey","Jeff Bell","Bell","2014NJBell","nj-senate-class-ii-2014","R",NA,"0",NA,"NJ","ii",NA,"S8NJ00012","","jeff-bell",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Jersey","Cory Booker","Booker","2014NJBooker","nj-senate-class-ii-2014","D",NA,"1",NA,"NJ","ii","76151","S4NJ00185","","cory-booker",1,9999,9999,1,0,1,0,0,0,0,0,1
2014,"New Mexico","Allen Weh","Weh","2014NMWeh","nm-senate-class-ii-2014","R",NA,"0",NA,"NM","ii","121634","S4NM00100","","allen-weh",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Mexico","David Clements","Clements","2014NMClements","nm-senate-class-ii-2014","R",NA,"0",NA,"NM","ii","146071","S4NM00092","","david-clements",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"New Mexico","Tom Udall","Udall","2014NMUdall","nm-senate-class-ii-2014","D",NA,"1",NA,"NM","ii","22658","S8NM00184","","tom-udall",1,9999,9999,0,0,0,0,1,0,1,0,1
