id,state,start_date,end_date,methodology,sample_size,pollster,population,national,generic_candidates,other_pct,undecided_pct,margin_of_error,undecided_and_other_pct,partisan_flag,tracking
40,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,12,4.5,,,
41,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,9,4.5,,,
42,AR,1/29/2010,1/31/2010,,810,PPP,RV,0,0,,12,3.4,,,
43,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,17,4,,,
44,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,11,9,4.5,,,
45,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,16,4,,,
46,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,13,4,,,
47,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,10,13,4.5,,,
48,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,11,4,,,
49,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,9,18,4.5,,,
50,AR,11/30/2009,12/1/2009,,600,Research 2000,LV,0,0,,25,4,,,
51,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,16,4,,,
52,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,13,9,4.5,,,
53,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,12,4,,,
54,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,11,4,,,
55,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,10,13,4.5,,,
56,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,11,4,,,
57,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,15,4.5,,,
58,AR,11/30/2009,12/2/2009,,600,Research 2000,LV,0,0,,33,4,,,
59,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,16,4,,,
60,AR,5/3/2010,5/5/2010,,625,Mason-Dixon,LV,0,0,,14,4,,,
61,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,12,4.5,,,
62,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,13,4,,,
63,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,11,4,,,
64,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,7,4.5,,,
65,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,10,4,,,
66,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
67,AR,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
68,AR,1/29/2010,1/31/2010,,810,PPP,RV,0,0,,15,3.4,,,
69,AR,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,25,0,,,
70,AR,1/5/2010,1/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,7,4.5,,,
71,AR,12/1/2009,12/1/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,7,4.5,,,
72,AR,11/30/2009,12/2/2009,,600,Research 2000,LV,0,0,,17,4,,,
73,AR,11/16/2009,11/17/2009,,501,Zogby (telephone),LV,0,0,,12,4.5,,,
74,AR,9/28/2009,9/28/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
75,AR,9/8/2009,9/10/2009,,600,Research 2000,LV,0,0,,19,4,,,
76,AR,8/21/2009,8/24/2009,,784,PPP,RV,0,0,,18,3.5,,,
77,AR,3/20/2009,3/22/2009,,600,PPP,RV,0,0,,16,4,,,
78,AR,8/18/2010,8/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,3,4.5,,,
79,AR,7/20/2010,7/20/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,2,3,4.5,,,
80,AR,7/16/2010,7/18/2010,,600,Ipsos,RV,0,0,1,10,4,,,
81,AR,6/15/2010,6/15/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,3,4.5,,,
82,AR,5/24/2010,5/26/2010,,600,Research 2000,LV,0,0,,4,4,,,
83,AR,5/19/2010,5/19/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,2,4,4.5,,,
84,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,6,4,,,
85,AR,5/3/2010,5/5/2010,,625,Mason-Dixon,LV,0,0,,13,4,,,
86,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,9,5,4.5,,,
87,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,6,4,,,
88,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,7,4,,,
89,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,7,4.5,,,
90,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,9,4,,,
91,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,7,4.5,,,
92,AR,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,7,4.5,,,
93,AR,1/29/2010,1/31/2010,,810,PPP,RV,0,0,,11,3.4,,,
94,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,17,4,,,
95,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,7,4.5,,,
96,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,12,4,,,
97,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,11,4,,,
98,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,8,4.5,,,
99,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,9,4,,,
100,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,10,4.5,,,
101,AR,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,9,4.5,,,
102,AR,1/18/2010,1/20/2010,,625,Mason-Dixon,LV,0,0,,21,4,,,
103,AR,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,28,0,,,
104,AR,1/5/2010,1/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,9,4.5,,,
105,AR,12/1/2009,12/1/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,9,4.5,,,
106,AR,11/30/2009,12/2/2009,,600,Research 2000,LV,0,0,,17,4,,,
107,AR,9/28/2009,9/28/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,11,4.5,,,
108,AR,9/8/2009,9/10/2009,,600,Research 2000,LV,0,0,,18,4,,,
109,AR,8/21/2009,8/24/2009,,784,PPP,RV,0,0,,19,3.5,,,
110,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,14,4,,,
111,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,11,8,4.5,,,
112,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,10,4,,,
113,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,9,4,,,
114,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
115,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,9,4,,,
116,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,12,4.5,,,
117,AR,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,7,4.5,,,
118,AR,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,24,0,,,
119,AR,1/5/2010,1/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,10,4.5,,,
120,AR,12/1/2009,12/1/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,9,4.5,,,
121,AR,11/30/2009,12/2/2009,,600,Research 2000,LV,0,0,,24,4,,,
122,AR,11/16/2009,11/17/2009,,501,Zogby (telephone),LV,0,0,,13,4.5,,,
123,AR,9/28/2009,9/28/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,10,4.5,,,
124,AR,9/8/2009,9/10/2009,,600,Research 2000,LV,0,0,,25,4,,,
125,CA,5/21/2010,5/23/2010,,921,PPP,RV,0,0,,12,3.2,,,
126,CA,5/19/2010,5/26/2010,,1506,USC,RV,0,0,3,13,0,,,
127,CA,5/17/2010,5/19/2010,,600,Research 2000,LV,0,0,,13,4,,,
128,CA,5/12/2010,5/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,12,4.5,,,
129,CA,5/9/2010,5/16/2010,,1168,PPIC,LV,0,0,,14,3,,,
130,CA,4/12/2010,4/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4.5,,,
131,CA,3/11/2010,3/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4.5,,,
132,CA,3/9/2010,3/15/2010,,748,Field Poll,LV,0,0,,13,3.6,,,
133,CA,3/9/2010,3/16/2010,,1102,PPIC,LV,0,0,,13,3,,,
134,CA,3/8/2010,3/10/2010,,500,Research 2000,LV,0,0,,10,4,,,
135,CA,2/11/2010,2/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,10,4.5,,,
136,CA,1/14/2010,1/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,9,4.5,,,
137,CA,1/12/2010,1/19/2010,,1223,PPIC,LV,0,0,,13,3,,,
138,CA,1/5/2010,1/17/2010,,958,Field Poll,RV,0,0,,14,3.3,,,
139,CA,5/21/2010,5/23/2010,,921,PPP,RV,0,0,,13,3.2,,,
140,CA,5/19/2010,5/26/2010,,1506,USC,RV,0,0,6,12,0,,,
141,CA,5/17/2010,5/19/2010,,600,Research 2000,LV,0,0,,15,4,,,
142,CA,5/12/2010,5/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,11,4.5,,,
143,CA,5/9/2010,5/16/2010,,1168,PPIC,LV,0,0,,11,3,,,
144,CA,4/12/2010,4/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,12,4.5,,,
145,CA,3/11/2010,3/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,9,4.5,,,
146,CA,3/9/2010,3/16/2010,,1102,PPIC,LV,0,0,,14,3,,,
147,CA,3/9/2010,3/15/2010,,748,Field Poll,LV,0,0,,14,3.6,,,
148,CA,3/8/2010,3/10/2010,,500,Research 2000,LV,0,0,,12,4,,,
149,CA,2/11/2010,2/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,5,4.5,,,
150,CA,1/14/2010,1/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,10,4.5,,,
151,CA,1/12/2010,1/19/2010,,1223,PPIC,LV,0,0,,14,3,,,
152,CA,1/5/2010,1/17/2010,,958,Field Poll,RV,0,0,,15,3.3,,,
153,CA,11/17/2009,11/17/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,13,4.5,,,
154,CA,9/23/2009,9/23/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,10,4.5,,,
155,CA,9/18/2009,10/5/2009,,1005,Field Poll,RV,0,0,,17,3.2,,,
156,CA,8/9/2009,8/12/2009,,600,Research 2000,LV,0,0,,18,4,,,
157,CA,8/9/2010,8/11/2010,,602,SurveyUSA,LV,0,0,0,0,4.1,11,,
158,CA,8/3/2010,8/3/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,5,10,4,,,
159,CA,7/23/2010,7/25/2010,,614,PPP,RV,0,0,0,11,4,,,
160,CA,7/12/2010,7/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,5,4.5,,,
161,CA,7/8/2010,7/11/2010,,614,SurveyUSA,LV,0,0,3,5,4,,,
162,CA,7/6/2010,7/20/2010,,1321,PPIC,LV,0,0,5,22,2.7,,,
163,CA,6/25/2010,6/27/2010,,600,Ipsos,RV,0,0,1,13,4,,,
164,CA,6/22/2010,7/5/2010,,1005,Field Poll,LV,0,0,,9,3.2,,,
165,CA,6/13/2010,6/13/2010,IVR,591,CrossTarget,LV,0,0,,6,4,,,
166,CA,6/9/2010,6/9/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,5,4.5,,,
167,CA,5/21/2010,5/23/2010,,921,PPP,RV,0,0,,13,3.2,,,
168,CA,5/19/2010,5/26/2010,,1506,USC,RV,0,0,4,16,2.6,,,
169,CA,5/17/2010,5/19/2010,,600,Research 2000,LV,0,0,,13,4,,,
170,CA,5/12/2010,5/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,12,4.5,,,
171,CA,5/9/2010,5/16/2010,,1168,PPIC,LV,0,0,,13,3,,,
172,CA,4/12/2010,4/12/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,13,4.5,,,
173,CA,3/11/2010,3/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,10,4.5,,,
174,CA,3/9/2010,3/15/2010,,748,Field Poll,LV,0,0,,11,3.7,,,
175,CA,3/9/2010,3/16/2010,,1102,PPIC,LV,0,0,,13,3.2,,,
176,CA,3/8/2010,3/10/2010,,500,Research 2000,LV,0,0,,11,4,,,
177,CA,2/11/2010,2/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,5,4.5,,,
178,CA,1/14/2010,1/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,8,4.5,,,
179,CA,1/12/2010,1/19/2010,,1223,PPIC,LV,0,0,,12,3,,,
180,CA,1/5/2010,1/17/2010,,958,Field Poll,RV,0,0,0,15,3.3,,,
181,CA,11/17/2009,11/17/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,12,4.5,,,
182,CA,9/23/2009,9/23/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,8,4.5,,,
183,CA,9/18/2009,10/6/2009,,1005,Field Poll,RV,0,0,,16,3.2,,,
184,CA,8/9/2009,8/12/2009,,600,Research 2000,LV,0,0,,,4,,,
185,CA,7/22/2009,7/22/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,7,4.5,,,
186,CA,2/20/2009,3/1/2009,,761,Field Poll,RV,0,0,,20,3.6,,,
187,CO,8/11/2010,8/11/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,5,7,4,,,
188,CO,8/7/2010,8/8/2010,,1015,PPP,RV,0,0,0,12,3.1,,,
189,CO,7/27/2010,7/29/2010,,950,SurveyUSA,RV,0,0,7,7,3.2,,,
190,CO,7/26/2010,7/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,5,4.5,,,
191,CO,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,9,4.5,,,
192,CO,6/15/2010,6/17/2010,,1565,SurveyUSA,RV,0,0,6,5,2.5,,,
193,CO,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
194,CO,5/14/2010,5/16/2010,,1060,PPP,RV,0,0,0,16,3,,,
195,CO,5/3/2010,5/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,7,4.5,,,
196,CO,4/5/2010,4/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,12,4.5,,,
197,CO,3/5/2010,3/8/2010,,580,PPP,RV,0,0,0,14,4.1,,,
198,CO,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,11,4.5,,,
199,CO,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
200,CO,1/13/2010,1/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,15,4.5,,,
201,CO,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,0,21,4,,,
202,CO,12/8/2009,12/8/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,12,4.5,,,
203,CO,9/9/2009,9/9/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,13,4.5,,,
204,CO,8/14/2009,8/16/2009,,969,PPP,RV,0,0,0,26,3.2,,,
205,CO,4/17/2009,4/19/2009,,1050,PPP,RV,0,0,0,26,3,,,
206,CO,8/7/2010,8/8/2010,,1015,PPP,RV,0,0,,14,3.1,,,
207,CO,7/27/2010,7/29/2010,,950,SurveyUSA,RV,0,0,7,5,3.2,,,
208,CO,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,7,4.5,,,
209,CO,6/15/2010,6/17/2010,,1500,SurveyUSA,RV,0,0,5,4,2.6,,,
210,CO,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,9,5,4.5,,,
211,CO,5/14/2010,5/16/2010,,1060,PPP,RV,0,0,,14,3,,,
212,CO,5/3/2010,5/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,6,4.5,,,
213,CO,4/5/2010,4/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
214,CO,3/5/2010,3/8/2010,,580,PPP,RV,0,0,,14,4.1,,,
215,CO,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,6,4.5,,,
216,CO,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,7,4.5,,,
217,CO,1/13/2010,1/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,11,4.5,,,
218,CO,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,,21,4,,,
219,CO,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,27,0,,,
220,CO,12/8/2009,12/8/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,8,4.5,,,
221,CO,9/15/2009,9/15/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,12,4.5,,,
222,CO,8/7/2010,8/8/2010,,1015,PPP,RV,0,0,,15,3.1,,,
223,CO,7/27/2010,7/29/2010,,950,SurveyUSA,RV,0,0,6,6,3.2,,,
224,CO,7/26/2010,7/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,6,4.5,,,
225,CO,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,8,4.5,,,
226,CO,6/15/2010,6/17/2010,,1500,SurveyUSA,RV,0,0,6,5,2.6,,,
227,CO,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,11,4.5,,,
228,CO,5/14/2010,5/16/2010,,1060,PPP,RV,0,0,,21,3,,,
229,CO,5/3/2010,5/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,11,4.5,,,
230,CO,4/5/2010,4/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,13,4.5,,,
231,CO,3/5/2010,3/8/2010,,580,PPP,RV,0,0,,20,4.1,,,
232,CO,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,13,4.5,,,
233,CO,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4.5,,,
234,CO,1/13/2010,1/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,16,4.5,,,
235,CO,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,,21,4,,,
236,CO,12/8/2009,12/8/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,14,4.5,,,
237,CO,8/7/2010,8/8/2010,,1015,PPP,RV,0,0,,15,3.1,,,
238,CO,7/27/2010,7/29/2010,,950,SurveyUSA,RV,0,0,8,7,3.2,,,
239,CO,7/26/2010,7/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,7,4.5,,,
240,CO,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,9,4.5,,,
241,CO,6/15/2010,6/17/2010,,1500,SurveyUSA,RV,0,0,8,7,2.6,,,
242,CO,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,8,4.5,,,
243,CO,5/14/2010,5/16/2010,,1060,PPP,RV,0,0,,16,3,,,
244,CO,5/3/2010,5/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
245,CO,4/5/2010,4/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
246,CO,3/5/2010,3/8/2010,,580,PPP,RV,0,0,,17,4.1,,,
247,CO,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,9,4.5,,,
248,CO,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,10,4.5,,,
249,CO,1/13/2010,1/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,14,4.5,,,
250,CO,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,,20,4,,,
251,CO,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,29,0,,,
252,CO,12/8/2009,12/8/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,15,4.5,,,
253,CO,9/15/2009,9/15/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,15,4.5,,,
254,CT,8/11/2010,8/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,7,4.5,,,
255,CT,7/28/2010,8/2/2010,,1299,Quinnipiac,RV,0,0,1,7,2.7,,,
256,CT,7/15/2010,7/15/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,4,4.5,,,
257,CT,7/7/2010,7/13/2010,,1367,Quinnipiac,RV,0,0,0,7,2.7,,,
258,CT,6/2/2010,6/8/2010,,1350,Quinnipiac,RV,0,0,1,8,2.7,,,
259,CT,6/1/2010,6/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,7,4.5,,,
260,CT,5/24/2010,5/26/2010,,600,Research 2000,LV,0,0,0,15,4,,,
261,CT,5/24/2010,5/25/2010,,1159,Quinnipiac,RV,0,0,1,10,2.9,,,
262,CT,5/18/2010,5/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,3,4.5,,,
263,CT,5/4/2010,5/4/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,4,4.5,,,
264,CT,4/7/2010,4/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,6,4.5,,,
265,CT,3/9/2010,3/15/2010,,1451,Quinnipiac,RV,0,0,1,10,2.6,,,
266,CT,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,7,4.5,,,
267,CT,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,4,4.5,,,
268,CT,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,0,10,4,,,
269,CT,1/8/2010,1/12/2010,,1430,Quinnipiac,RV,0,0,1,11,2.6,,,
270,CT,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,5,4.5,,,
271,CT,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,0,18,4.5,,,
272,CT,1/4/2010,1/5/2010,,522,PPP,RV,0,0,0,12,4.5,,,
273,CT,7/28/2010,8/2/2010,,1299,Quinnipiac,RV,0,0,,9,2.7,,,
274,CT,7/15/2010,7/15/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
275,CT,7/7/2010,7/13/2010,,1367,Quinnipiac,RV,0,0,,9,2.7,,,
