"startdate","enddate","Democrats","Republicans","Sample","Poll","knownDate"
2013-11-26,2013-12-02,47,36,"3500 LV","Rasmussen Reports",2013-12-04
2013-11-25,2013-12-01,38,43,"3500 LV","Rasmussen Reports",2013-12-03
2013-11-19,2013-11-25,45,40,"3500 LV","Rasmussen Reports",2013-11-27
2013-11-18,2013-11-24,41,40,"3500 LV","Rasmussen Reports",2013-11-26
2013-11-18,2013-11-20,47,49,"749 RV","CNN/Opinion Research",2013-11-22
2013-11-12,2013-11-18,45,40,"3500 LV","Rasmussen Reports",2013-11-20
2013-11-11,2013-11-17,39,40,"3500 LV","Rasmussen Reports",2013-11-19
2013-11-10,2013-11-12,35,36,"rv","Anderson Robbins Research/Shaw & Co. Research!!Fox News",2013-11-14
2013-11-10,2013-11-12,40,43,"1006 RV","FOX News",2013-11-14
2013-11-06,2013-11-11,39,39,"2545 RV","Quinnipiac",2013-11-13
2013-11-05,2013-11-11,45,42,"3500 LV","Rasmussen Reports",2013-11-13
2013-11-04,2013-11-10,41,39,"3500 LV","Rasmussen Reports",2013-11-12
2013-10-28,2013-11-03,43,37,"3500 LV","Rasmussen Reports",2013-11-05
2013-10-29,2013-10-31,44,38,"649 RV","PPP (D)",2013-11-02
2013-10-27,2013-10-31,44,41,"1000 LV","GWU/Battleground",2013-11-02
2013-10-21,2013-10-27,43,37,"3500 LV","Rasmussen Reports",2013-10-29
2013-10-20,2013-10-22,45,37,"1020 RV","FOX News",2013-10-24
2013-10-17,2013-10-20,49,38,"a","ABC News/Washington Post!!",2013-10-22
2013-10-18,2013-10-20,47,37,"a","ORC International!!Cable News Network",2013-10-22
2013-10-18,2013-10-20,27,29,"a","ORC International!!Cable News Network",2013-10-22
2013-10-18,2013-10-20,50,42,"RV","CNN/Opinion Research",2013-10-22
2013-10-17,2013-10-20,48,40,"RV","ABC News/Wash Post",2013-10-22
2013-10-14,2013-10-20,43,36,"3500 LV","Rasmussen Reports",2013-10-22
2013-10-09,2013-10-13,49,43,"1259 RV","Pew Research",2013-10-15
2013-10-07,2013-10-13,45,38,"3500 LV","Rasmussen Reports",2013-10-15
2013-10-04,2013-10-06,46,41,"1000 RV","PPP (D)",2013-10-08
2013-09-30,2013-10-06,40,40,"3500 LV","Rasmussen Reports",2013-10-08
2013-09-23,2013-09-29,42,38,"3500 LV","Rasmussen Reports",2013-10-01
2013-09-23,2013-09-29,43,34,"1497 RV","Quinnipiac",2013-10-01
2013-09-25,2013-09-26,45,40,"790 RV","PPP (D)",2013-09-28
2013-09-16,2013-09-22,40,37,"3500 LV","Rasmussen Reports",2013-09-24
2013-09-09,2013-09-15,38,38,"3500 LV","Rasmussen Reports",2013-09-17
2013-09-02,2013-09-08,39,39,"3500 LV","Rasmussen Reports",2013-09-10
2013-09-04,2013-09-05,45,44,"rv","Winston Group!!New Models",2013-09-07
2013-08-26,2013-09-01,39,37,"3500 LV","Rasmussen Reports",2013-09-03
2013-08-19,2013-08-25,38,39,"3500 LV","Rasmussen Reports",2013-08-27
2013-08-12,2013-08-18,38,38,"3500 LV","Rasmussen Reports",2013-08-20
2013-08-05,2013-08-11,39,39,"3500 LV","Rasmussen Reports",2013-08-13
2013-07-29,2013-08-04,38,41,"3500 LV","Rasmussen Reports",2013-08-06
2013-07-31,2013-08-01,47,38,"rv","Winston Group!!New Models",2013-08-03
2013-07-28,2013-07-31,40,36,"1468 RV","Quinnipiac",2013-08-02
2013-07-22,2013-07-28,39,38,"3500 LV","Rasmussen Reports",2013-07-30
2013-07-15,2013-07-21,40,38,"3500 LV","Rasmussen Reports",2013-07-23
2013-07-08,2013-07-14,38,39,"3500 LV","Rasmussen Reports",2013-07-16
2013-06-28,2013-07-08,39,34,"2014 RV","Quinnipiac",2013-07-10
2013-07-01,2013-07-07,39,40,"3500 LV","Rasmussen Reports",2013-07-09
2013-07-01,2013-07-02,44,42,"rv","Winston Group!!New Models",2013-07-04
2013-06-24,2013-06-30,38,39,"3500 LV","Rasmussen Reports",2013-07-02
2013-06-17,2013-06-23,40,39,"3500 LV","Rasmussen Reports",2013-06-25
2013-06-10,2013-06-16,39,39,"3500 LV","Rasmussen Reports",2013-06-18
2013-06-11,2013-06-13,47,40,"603 RV","PPP (D)",2013-06-15
2013-06-03,2013-06-09,40,38,"3500 LV","Rasmussen Reports",2013-06-11
2013-05-27,2013-06-02,40,40,"3500 LV","Rasmussen Reports",2013-06-04
2013-05-29,2013-05-30,44,41,"rv","Winston Group!!New Models",2013-06-01
2013-05-22,2013-05-28,38,38,"1419 RV","Quinnipiac",2013-05-30
2013-05-20,2013-05-26,41,39,"3500 LV","Rasmussen Reports",2013-05-28
2013-05-16,2013-05-19,48,40,"RV","ABC News/Wash Post",2013-05-21
2013-05-13,2013-05-19,39,40,"3500 LV","Rasmussen Reports",2013-05-21
2013-05-06,2013-05-11,40,38,"3500 LV","Rasmussen Reports",2013-05-13
2013-05-06,2013-05-09,45,43,"1099 RV","PPP (D)",2013-05-11
2013-04-29,2013-05-05,40,38,"3500 LV","Rasmussen Reports",2013-05-07
2013-04-25,2013-04-29,41,37,"1471 RV","Quinnipiac",2013-05-01
2013-04-27,2013-04-28,47,39,"rv","Winston Group!!New Models",2013-04-30
2013-04-22,2013-04-28,39,40,"3500 LV","Rasmussen Reports",2013-04-30
2013-04-15,2013-04-21,41,39,"3500 LV","Rasmussen Reports",2013-04-23
2013-04-08,2013-04-14,42,38,"3500 LV","Rasmussen Reports",2013-04-16
2013-04-01,2013-04-07,41,38,"3500 LV","Rasmussen Reports",2013-04-09
2013-03-26,2013-04-01,43,35,"1711 RV","Quinnipiac",2013-04-03
2013-03-25,2013-03-31,44,37,"3500 LV","Rasmussen Reports",2013-04-02
2013-03-27,2013-03-30,46,42,"1247 RV","PPP (D)",2013-04-01
2013-03-18,2013-03-24,43,38,"3500 LV","Rasmussen Reports",2013-03-26
2013-03-11,2013-03-17,43,38,"3500 LV","Rasmussen Reports",2013-03-19
2013-03-09,2013-03-10,47,43,"rv","Winston Group!!New Models",2013-03-12
2013-03-04,2013-03-10,43,40,"3500 LV","Rasmussen Reports",2013-03-12
2013-02-25,2013-03-03,43,40,"3500 LV","Rasmussen Reports",2013-03-05
2013-02-18,2013-02-24,43,38,"3500 LV","Rasmussen Reports",2013-02-26
2013-02-11,2013-02-17,43,37,"3500 LV","Rasmussen Reports",2013-02-19
2013-02-04,2013-02-10,42,39,"3500 LV","Rasmussen Reports",2013-02-12
2013-01-31,2013-02-03,45,45,"800 RV","PPP (D)",2013-02-05
2013-01-28,2013-02-03,44,38,"3000 LV","Rasmussen Reports",2013-02-05
2013-02-01,2013-02-02,46,41,"rv","Winston Group!!New Models",2013-02-04
2013-01-21,2013-01-27,45,37,"3000 LV","Rasmussen Reports",2013-01-29
2013-01-14,2013-01-20,44,39,"3000 LV","Rasmussen Reports",2013-01-22
2013-01-12,2013-01-13,44,41,"rv","Winston Group!!New Models",2013-01-15
2013-01-07,2013-01-13,43,37,"3000 LV","Rasmussen Reports",2013-01-15
2013-01-03,2013-01-06,47,41,"1100 RV","PPP (D)",2013-01-08
2013-01-02,2013-01-06,44,38,"3000 LV","Rasmussen Reports",2013-01-08
2013-12-30,2013-01-05,40,38,"3500 LV","Rasmussen Reports",2013-01-07
2012-12-29,2012-12-30,47,42,"rv","Winston Group!!New Models",2013-01-01
2012-12-02,2012-12-06,41,38,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-12-08
2012-11-19,2012-11-20,47,43,"rv","Winston Group!!New Models",2012-11-22
2012-11-04,2012-11-05,45,46,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-11-07
2012-11-04,2012-11-05,46,47,"1000 LV","Politico/GWU/Battleground",2012-11-07
2012-11-02,2012-11-04,48,49,"693 LV","CNN/Opinion Research",2012-11-06
2012-11-01,2012-11-04,49,48,"2551 LV","Gallup",2012-11-06
2012-10-29,2012-11-04,46,46,"3500 LV","Rasmussen Reports",2012-11-06
2012-10-29,2012-11-01,44,45,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-11-03
2012-10-29,2012-11-01,46,46,"1000 LV","Politico/GWU/Battleground",2012-11-03
2012-10-25,2012-10-28,47,41,"a","CBS News/New York Times!!",2012-10-30
2012-10-25,2012-10-28,48,46,"563 LV","CBS News/NY Times",2012-10-30
2012-10-22,2012-10-28,43,46,"3500 LV","Rasmussen Reports",2012-10-30
2012-10-22,2012-10-25,42,45,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-10-27
2012-10-23,2012-10-25,43,43,"1000 LV","NPR",2012-10-27
2012-10-22,2012-10-25,45,46,"1000 LV","Politico/GWU/Battleground",2012-10-27
2012-10-15,2012-10-21,43,44,"3500 LV","Rasmussen Reports",2012-10-23
2012-10-15,2012-10-18,44,44,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-10-20
2012-10-15,2012-10-18,46,46,"1000 LV","Politico/GWU/Battleground",2012-10-20
2012-10-08,2012-10-14,43,42,"3500 LV","Rasmussen Reports",2012-10-16
2012-10-07,2012-10-11,44,43,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-10-13
2012-10-07,2012-10-11,46,44,"1000 LV","Politico/GWU/Battleground",2012-10-13
2012-10-08,2012-10-09,44,44,"rv","Winston Group!!New Models",2012-10-11
2012-10-01,2012-10-07,44,43,"3500 LV","Rasmussen Reports",2012-10-09
2012-10-01,2012-10-04,44,44,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-10-06
2012-10-01,2012-10-04,46,45,"1000 LV","Politico/GWU/Battleground",2012-10-06
2012-09-26,2012-09-30,48,45,"800 LV","NPR",2012-10-02
2012-09-24,2012-09-30,41,45,"3500 LV","Rasmussen Reports",2012-10-02
2012-09-24,2012-09-27,49,43,"a","Gallup Organization!!USA Today",2012-09-29
2012-09-24,2012-09-27,46,41,"a","Gallup Organization!!USA Today",2012-09-29
2012-09-24,2012-09-27,45,43,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-09-29
2012-09-24,2012-09-27,47,46,"1301 RV","USA Today/Gallup",2012-09-29
2012-09-24,2012-09-27,46,44,"1000 LV","Politico/GWU/Battleground",2012-09-29
2012-09-21,2012-09-24,41,43,"a","Selzer & Co.!!Bloomberg",2012-09-26
2012-09-21,2012-09-24,43,45,"789 LV","Bloomberg",2012-09-26
2012-09-17,2012-09-23,43,44,"3500 LV","Rasmussen Reports",2012-09-25
2012-09-16,2012-09-20,44,42,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-09-22
2012-09-16,2012-09-20,47,45,"1000 LV","Politico/GWU/Battleground",2012-09-22
2012-09-10,2012-09-16,43,44,"3500 LV","Rasmussen Reports",2012-09-18
2012-09-12,2012-09-14,46,46,"rv","Winston Group!!New Models",2012-09-16
2012-09-07,2012-09-10,49,43,"942 RV","Reuters/Ipsos",2012-09-12
2012-09-03,2012-09-09,44,42,"3500 LV","Rasmussen Reports",2012-09-11
2012-08-27,2012-09-02,42,43,"3500 LV","Rasmussen Reports",2012-09-04
2012-08-20,2012-08-26,42,42,"3500 LV","Rasmussen Reports",2012-08-28
2012-08-22,2012-08-23,45,45,"rv","Winston Group!!New Models",2012-08-25
2012-08-20,2012-08-22,47,41,"a","Gallup Organization!!USA Today",2012-08-24
2012-08-20,2012-08-22,49,44,"a","Gallup Organization!!USA Today",2012-08-24
2012-08-16,2012-08-22,44,40,"1000 LV","Resurgent Republic (R)",2012-08-24
2012-08-20,2012-08-22,47,47,"955 RV","USA Today/Gallup",2012-08-24
2012-08-13,2012-08-19,41,42,"3500 LV","Rasmussen Reports",2012-08-21
2012-08-06,2012-08-12,39,42,"3500 LV","Rasmussen Reports",2012-08-14
2012-08-05,2012-08-09,41,43,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-08-11
2012-08-05,2012-08-09,43,45,"1000 LV","Politico/GWU/Battleground",2012-08-11
2012-08-02,2012-08-06,46,46,"1014 RV","Reuters/Ipsos",2012-08-08
2012-07-29,2012-08-05,39,42,"3500 LV","Rasmussen Reports",2012-08-07
2012-07-23,2012-07-29,40,43,"3500 LV","Rasmussen Reports",2012-07-31
2012-07-16,2012-07-22,40,43,"3500 LV","Rasmussen Reports",2012-07-24
2012-07-09,2012-07-15,40,43,"3500 LV","Rasmussen Reports",2012-07-17
2012-07-05,2012-07-09,44,48,"885 RV","Reuters/Ipsos",2012-07-11
2012-07-02,2012-07-08,40,43,"3500 LV","Rasmussen Reports",2012-07-10
2012-07-01,2012-07-08,43,40,"2722 RV","Quinnipiac",2012-07-10
2012-06-25,2012-07-01,40,41,"3500 LV","Rasmussen Reports",2012-07-03
2012-06-28,2012-06-28,36,38,"600 LV","Newsweek/Daily Beast",2012-06-30
2012-06-18,2012-06-24,39,44,"3500 LV","Rasmussen Reports",2012-06-26
2012-06-19,2012-06-21,29,30,"lv","McLaughlin & Associates!!YG Network",2012-06-23
2012-06-15,2012-06-18,45,38,"a","Selzer & Co.!!Bloomberg",2012-06-20
2012-06-15,2012-06-18,48,41,"734 LV","Bloomberg",2012-06-20
2012-06-07,2012-06-17,44,41,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2012-06-19
2012-06-16,2012-06-17,45,44,"rv","Winston Group!!New Models",2012-06-19
2012-06-11,2012-06-17,38,45,"3500 LV","Rasmussen Reports",2012-06-19
2012-06-07,2012-06-17,47,43,"1563 RV","Pew Research",2012-06-19
2012-06-07,2012-06-11,47,44,"848 RV","Reuters/Ipsos",2012-06-13
2012-06-04,2012-06-10,39,45,"3500 LV","Rasmussen Reports",2012-06-12
2012-05-28,2012-06-03,37,44,"3500 LV","Rasmussen Reports",2012-06-05
2012-05-29,2012-05-31,48,45,"895 RV","CNN/Opinion Research",2012-06-02
2012-05-26,2012-05-27,42,44,"rv","Winston Group!!New Models",2012-05-29
2012-05-21,2012-05-27,39,42,"3500 LV","Rasmussen Reports",2012-05-29
2012-05-14,2012-05-20,39,43,"3500 LV","Rasmussen Reports",2012-05-22
2012-05-10,2012-05-13,44,45,"a","Gallup Organization!!USA Today",2012-05-15
2012-05-10,2012-05-13,46,47,"a","Gallup Organization!!USA Today",2012-05-15
2012-05-07,2012-05-12,38,45,"3500 LV","Rasmussen Reports",2012-05-14
2012-05-03,2012-05-07,46,44,"959 RV","Reuters/Ipsos",2012-05-09
2012-04-30,2012-05-06,41,44,"3500 LV","Rasmussen Reports",2012-05-08
2012-04-29,2012-05-03,41,43,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-05-05
2012-04-30,2012-05-03,45,40,"1000 RV","Resurgent Republic (R)",2012-05-05
2012-04-29,2012-05-03,43,45,"1000 LV","Politico/GWU/Battleground",2012-05-05
2012-04-23,2012-04-29,40,43,"3500 LV","Rasmussen Reports",2012-05-01
2012-04-16,2012-04-22,40,43,"3500 LV","Rasmussen Reports",2012-04-24
2012-04-11,2012-04-17,40,39,"2577 RV","Quinnipiac",2012-04-19
2012-04-12,2012-04-15,42,41,"891 RV","Reuters/Ipsos",2012-04-17
2012-04-09,2012-04-15,36,46,"3500 LV","Rasmussen Reports",2012-04-17
2012-04-02,2012-04-08,40,45,"3500 LV","Rasmussen Reports",2012-04-10
2012-04-02,2012-04-03,45,45,"rv","Winston Group!!New Models",2012-04-05
2012-03-26,2012-04-01,39,45,"3500 LV","Rasmussen Reports",2012-04-03
2012-03-19,2012-03-25,38,43,"3500 LV","Rasmussen Reports",2012-03-27
2012-03-20,2012-03-22,43,47,"846 RV","McClatchy/Marist",2012-03-24
2012-03-12,2012-03-18,40,44,"3500 LV","Rasmussen Reports",2012-03-20
2012-03-14,2012-03-15,44,42,"rv","Winston Group!!New Models",2012-03-17
2012-03-08,2012-03-11,41,43,"a","Selzer & Co.!!Bloomberg",2012-03-13
2012-03-08,2012-03-11,44,46,"746 LV","Bloomberg",2012-03-13
2012-03-08,2012-03-11,47,43,"937 RV","Reuters/Ipsos",2012-03-13
2012-03-05,2012-03-11,38,44,"3500 LV","Rasmussen Reports",2012-03-13
2012-02-27,2012-03-04,41,44,"3500 LV","Rasmussen Reports",2012-03-06
2012-02-25,2012-02-26,43,43,"rv","Winston Group!!New Models",2012-02-28
2012-02-20,2012-02-26,39,43,"3500 LV","Rasmussen Reports",2012-02-28
2012-02-19,2012-02-22,43,43,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2012-02-24
2012-02-19,2012-02-22,46,45,"1000 LV","Politico/GWU/Battleground",2012-02-24
2012-02-14,2012-02-20,38,40,"2605 RV","Quinnipiac",2012-02-22
2012-02-16,2012-02-19,46,48,"a","Gallup Organization!!USA Today",2012-02-21
2012-02-16,2012-02-19,47,47,"898 RV","USA Today/Gallup",2012-02-21
2012-02-13,2012-02-19,41,42,"3500 LV","Rasmussen Reports",2012-02-21
2012-02-06,2012-02-12,41,43,"3500 LV","Rasmussen Reports",2012-02-14
2012-02-02,2012-02-06,46,44,"881 RV","Reuters/Ipsos",2012-02-08
2012-02-04,2012-02-05,45,43,"rv","Winston Group!!New Models",2012-02-07
2012-01-30,2012-02-05,41,43,"3500 LV","Rasmussen Reports",2012-02-07
2012-01-23,2012-01-29,41,40,"3500 LV","Rasmussen Reports",2012-01-31
2012-01-16,2012-01-22,39,42,"3500 LV","Rasmussen Reports",2012-01-24
2012-01-17,2012-01-18,45,42,"rv","Winston Group!!New Models",2012-01-20
2012-01-09,2012-01-15,38,44,"3500 LV","Rasmussen Reports",2012-01-17
2012-01-05,2012-01-09,48,44,"896 RV","Reuters/Ipsos",2012-01-11
2012-01-02,2012-01-08,38,44,"4000 LV","Rasmussen Reports",2012-01-10
2011-12-26,2011-12-30,38,43,"3000 LV","Rasmussen Reports",2012-01-01
2011-12-28,2011-12-29,43,43,"rv","Winston Group!!New Models",2011-12-31
2011-12-20,2011-12-26,38,43,"3500 LV","Rasmussen Reports",2011-12-28
2011-12-19,2011-12-22,40,43,"3500 LV","Rasmussen Reports",2011-12-24
2011-12-13,2011-12-19,38,45,"3500 LV","Rasmussen Reports",2011-12-21
2011-12-15,2011-12-18,46,43,"a","Gallup Organization!!USA Today",2011-12-20
2011-12-15,2011-12-18,49,45,"a","Gallup Organization!!USA Today",2011-12-20
2011-12-16,2011-12-18,46,44,"700 RV","PPP (D)",2011-12-20
2011-12-12,2011-12-18,40,43,"3500 LV","Rasmussen Reports",2011-12-20
2011-12-08,2011-12-12,48,42,"921 RV","Reuters/Ipsos",2011-12-14
2011-12-06,2011-12-12,39,45,"3500 LV","Rasmussen Reports",2011-12-14
2011-12-05,2011-12-11,39,42,"3500 LV","Rasmussen Reports",2011-12-13
2011-11-29,2011-12-05,40,45,"3500 LV","Rasmussen Reports",2011-12-07
2011-11-28,2011-12-04,38,43,"3500 LV","Rasmussen Reports",2011-12-06
2011-11-29,2011-11-30,45,43,"rv","Winston Group!!New Models",2011-12-02
2011-11-22,2011-11-28,40,46,"2500 LV","Rasmussen Reports",2011-11-30
2011-11-21,2011-11-27,38,43,"2000 LV","Rasmussen Reports",2011-11-29
2011-11-15,2011-11-21,39,44,"3500 LV","Rasmussen Reports",2011-11-23
2011-11-14,2011-11-20,40,36,"2552 RV","Quinnipiac",2011-11-22
2011-11-14,2011-11-20,40,41,"3500 LV","Rasmussen Reports",2011-11-22
2011-11-08,2011-11-14,40,45,"3500 LV","Rasmussen Reports",2011-11-16
2011-11-10,2011-11-13,45,45,"800 RV","PPP (D)",2011-11-15
2011-11-07,2011-11-13,41,41,"3500 LV","Rasmussen Reports",2011-11-15
2011-11-06,2011-11-09,42,41,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2011-11-11
2011-11-06,2011-11-09,44,43,"1000 LV","Politico/GWU/Battleground",2011-11-11
2011-11-01,2011-11-07,39,49,"3500 LV","Rasmussen Reports",2011-11-09
2011-10-31,2011-11-06,37,44,"3500 LV","Rasmussen Reports",2011-11-08
2011-10-31,2011-11-03,48,43,"937 RV","Reuters/Ipsos",2011-11-05
2011-10-30,2011-11-02,40,38,"1000 RV","Resurgent Republic (R)",2011-11-04
2011-10-25,2011-10-31,42,34,"2294 RV","Quinnipiac",2011-11-02
2011-10-27,2011-10-30,42,43,"a","Princeton Survey Research Associates International!!United Technologies, National Journal",2011-11-01
2011-10-29,2011-10-30,42,46,"rv","Winston Group!!New Models",2011-11-01
2011-10-24,2011-10-30,40,43,"3500 LV","Rasmussen Reports",2011-11-01
2011-10-17,2011-10-23,36,44,"3500 LV","Rasmussen Reports",2011-10-25
2011-10-10,2011-10-16,39,42,"3500 LV","Rasmussen Reports",2011-10-18
2011-10-07,2011-10-10,45,42,"700 RV","PPP (D)",2011-10-12
2011-10-06,2011-10-10,48,40,"934 RV","Reuters/Ipsos",2011-10-12
2011-10-03,2011-10-09,38,43,"3500 LV","Rasmussen Reports",2011-10-11
2011-09-27,2011-10-03,39,39,"2118 RV","Quinnipiac",2011-10-05
2011-10-01,2011-10-02,44,41,"rv","Winston Group!!New Models",2011-10-04
2011-09-26,2011-10-02,38,44,"3500 LV","Rasmussen Reports",2011-10-04
2011-09-19,2011-09-25,40,42,"3500 LV","Rasmussen Reports",2011-09-27
2011-09-12,2011-09-18,39,42,"3500 LV","Rasmussen Reports",2011-09-20
2011-09-12,2011-09-13,41,43,"rv","Winston Group!!New Models",2011-09-15
2011-09-05,2011-09-11,38,43,"3500 LV","Rasmussen Reports",2011-09-13
2011-08-29,2011-09-04,37,44,"3500 LV","Rasmussen Reports",2011-09-06
2011-08-28,2011-09-01,38,36,"lv","Tarrance Group & Lake Research Partners!!Politico, George Washington University",2011-09-03
2011-08-28,2011-09-01,41,40,"1000 LV","Politico/GWU/Battleground",2011-09-03
2011-08-22,2011-08-28,36,45,"3500 LV","Rasmussen Reports",2011-08-30
2011-08-16,2011-08-27,38,38,"2730 RV","Quinnipiac",2011-08-29
2011-08-17,2011-08-21,44,37,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2011-08-23
2011-08-17,2011-08-21,48,44,"1205 RV","Pew Research",2011-08-23
2011-08-15,2011-08-21,38,44,"3500 LV","Rasmussen Reports",2011-08-23
2011-08-08,2011-08-14,37,44,"3500 LV","Rasmussen Reports",2011-08-16
2011-08-04,2011-08-07,51,44,"1204 RV","USA Today/Gallup",2011-08-09
2011-08-01,2011-08-07,39,41,"3500 LV","Rasmussen Reports",2011-08-09
2011-08-03,2011-08-04,40,41,"rv","Winston Group!!New Models",2011-08-06
2011-07-25,2011-07-31,39,43,"3500 LV","Rasmussen Reports",2011-08-02
2011-07-18,2011-07-24,38,44,"3500 LV","Rasmussen Reports",2011-07-26
2011-07-20,2011-07-21,42,44,"rv","Winston Group!!New Models",2011-07-23
2011-07-15,2011-07-17,46,44,"928 RV","PPP (D)",2011-07-19
2011-07-11,2011-07-17,38,44,"3500 LV","Rasmussen Reports",2011-07-19
2011-07-04,2011-07-10,38,44,"3500 LV","Rasmussen Reports",2011-07-12
2011-06-27,2011-07-02,40,43,"3500 LV","Rasmussen Reports",2011-07-04
2011-06-29,2011-06-30,43,44,"rv","Winston Group!!New Models",2011-07-02
2011-06-20,2011-06-26,37,44,"3500 LV","Rasmussen Reports",2011-06-28
2011-06-18,2011-06-19,44,42,"rv","Winston Group!!New Models",2011-06-21
2011-06-13,2011-06-19,37,43,"3500 LV","Rasmussen Reports",2011-06-21
2011-06-06,2011-06-12,38,43,"4000 LV","Rasmussen Reports",2011-06-14
